,Date,Product ID,Category,Product Name,Quantity,Price per Unit,Total Value,Shelf Life (days)/ Warranty,Production Date,Expiration Date/Warranty Period,Holiday,Seasonality,Product Score,comp_1,comp_2,comp_3,Lag Price
0,01-05-2017,ID_1,Home Decor Items,bed1,1.0,45.95,45.95,365,01-05-2017,01-05-2018,1,1,4.0,89.9,215.0,45.95,61.91791070880017
1,01-06-2017,ID_2,Home Decor Items,bed1,3.0,45.95,137.85,720,01-06-2017,22-05-2019,1,1,4.0,89.9,209.0,45.95,79.41343991413711
2,01-07-2017,ID_3,Home Decor Items,bed1,6.0,45.95,275.7,720,01-07-2017,21-06-2019,1,1,4.0,89.9,205.0,45.95,72.77199604310333
3,01-08-2017,ID_4,Home Decor Items,bed1,4.0,45.95,183.8,720,01-08-2017,22-07-2019,1,1,4.0,89.9,199.5098039,45.95,68.72326487264303
4,01-09-2017,ID_5,Home Decor Items,bed1,2.0,45.95,91.9,365,01-09-2017,01-09-2018,1,1,4.0,89.9,163.3987097,45.95,55.28250601703459
5,01-10-2017,ID_6,Home Decor Items,bed1,3.0,45.95,137.85,365,01-10-2017,01-10-2018,1,1,4.0,89.9,45.95,45.95,49.111410358110305
6,01-11-2017,ID_7,Home Decor Items,bed1,11.0,40.53181818,445.85,720,01-11-2017,22-10-2019,0,1,4.0,89.9,40.53181818,40.53181818,44.11415311647219
7,01-12-2017,ID_8,Home Decor Items,bed1,6.0,39.99,239.94,720,01-12-2017,21-11-2019,1,1,4.0,88.48823529,39.99,39.99,65.10653312111702
8,01-01-2018,ID_9,Home Decor Items,bed1,19.0,39.99,759.81,720,01-01-2018,22-12-2019,0,1,4.0,86.9,39.99,39.99,75.2109860503488
9,01-02-2018,ID_10,Home Decor Items,bed1,18.0,39.99,719.82,720,01-02-2018,22-01-2020,0,1,4.0,86.9,39.99,39.99,51.198070769962925
10,01-03-2018,ID_11,Home Decor Items,bed1,17.0,39.99,679.83,720,01-03-2018,19-02-2020,1,1,4.0,86.9,39.99,39.99,43.824365214622176
11,01-04-2018,ID_12,Home Decor Items,bed1,13.0,39.99,519.87,720,01-04-2018,21-03-2020,1,1,4.0,85.045,39.99,39.99,64.5472325043417
12,01-05-2018,ID_13,Home Decor Items,bed1,19.0,39.99,759.81,720,01-05-2018,20-04-2020,0,1,4.0,83.64961538,39.99,39.99,66.93225137657102
13,01-06-2018,ID_14,Home Decor Items,bed1,5.0,39.99,199.95,365,01-06-2018,01-06-2019,0,1,4.0,79.9,39.99,39.99,42.29071179279515
14,01-07-2018,ID_15,Home Decor Items,bed1,8.0,39.99,319.92,365,01-07-2018,01-07-2019,1,1,4.0,77.93333333,39.99,39.99,42.53476391227761
15,01-08-2018,ID_16,Home Decor Items,bed1,8.0,39.24,313.92,720,01-08-2018,21-07-2020,1,1,4.0,74.0,39.24,39.24,41.72464140667026
16,01-03-2017,ID_17,Kitchen Ware and Household Appliances,garden5,6.0,69.9,419.4,720,01-03-2017,19-02-2019,1,1,4.1,69.9,69.9,69.9,72.63669344342567
17,01-04-2017,ID_18,Kitchen Ware and Household Appliances,garden5,3.0,82.63333333,247.9,720,01-04-2017,22-03-2019,1,1,4.1,82.63333333,82.63333333,82.63333333,86.97086731324976
18,01-05-2017,ID_19,Kitchen Ware and Household Appliances,garden5,20.0,97.58823529,1956.0,720,01-05-2017,21-04-2019,1,1,4.1,59.9,59.9,97.58823529,87.20183695079486
19,01-06-2017,ID_20,Kitchen Ware and Household Appliances,garden5,8.0,89.0,712.0,365,01-06-2017,01-06-2018,1,1,4.1,59.9,59.9,89.0,68.46168249800185
